cva,name,street,city,state and zip
2832,Aquahart Manor Apts,1020 Cayer Dr,Glen Burnie, MD 21061
2833,2. 900 Park Ave,2. 900 Park Ave,New York, NY 10075
2834,554 West 157th Street,554 West 157th Street,New York, NY 10032
2835,230 E 30 St,230 E 30 St,New York, NY 10016
2836,3 Townhouse Cir,Cutter Mill Rd,Great Neck, NY 11021
2838,Newport CA,4800 Chicago Beach Dr,Chicago, IL 60615
2839,Summer Breeze Rv Resort,1402 S Laurent St,Victoria, TX 77901
2840,2. Chatham Gardens Section I,332 N Chatham Rd,Ellicott City, MD 21042
2841,Alamo Hillside Apts,7626 Callaghan Rd,San Antonio, TX 78229
2842,The Social Apts,1817 E Oltorf St,Austin, TX 78741
2843,Morgan Manor Apts,7135 Oaklawn Dr,San Antonio, TX 78229
2844,Arlington Court Condos,2800 16 Rd S,Arlington, VA 22204
2845,Beacon Hill Apts,3100 Southgate Dr,Alexandria, VA 22306
2846,Braddock Lee Apts,2423 Menokin Dr #11,Alexandria, VA 22302
2847,2. Salvation Army School,1031 Metropolitan Pkwy SW,Atlanta, GA 30310
2848,Trails At Vintage Creek Apts,2224 Northeast Dr,Austin, TX 78723
2849,Kwik Wash Store 044,8810 Huebner Rd,San Antonio, TX 78240
2850,Paradise Oaks Apts,1500 Faro Dr,Austin, TX 78741
2851,Kwik Wash Store 003,7007 Bandera Rd,San Antonio, TX 78238
2852,Westage Harbor,5400 Saint Paul Blvd,Rochester, NY 14617
2853,Massena Housing Authority,55 Victory Rd,Massena, NY 13662
2854,Nizhoni Terrace,222 E Nizhoni Blvd,Gallup, NM 87301
2855,Quay Apts,702 W Sunset Ave,Tucumcari, NM 88401
2856,Sunray Apts,1017 Lobo Canyon Rd,Grants, NM 87020
2857,Zia Vista,2501 W Zia Rd,Santa Fe, NM 87505
2858,Rancho De Paiz,1632 Bridge Blvd SW,Albuquerque, NM 87105
2859,San Juan Apts,2614 E 20 St,Farmington, NM 87401
2860,Sunchase,3901 Montgomery Blvd NE,Albuquerque, NM 87109
2861,Lobo Canyon Ct,1801 Cordova Ct,Grants, NM 87020
2862,Legacy North Pointe Apts,2525 Pavillion Pl,Raleigh, NC 27615
2863,Griffin Park,1013 Griffin Rd,Lakeland, FL 33805
2864,Imperial Gardens,50 Imperial Blvd,Wappingers Falls, NY 12590
2865,Dahlia Square Seniors,3421 Elm St,Denver, CO 80207
2866,Eagles Bluff,1 Canton Cir,Concord, NH 03301
2867,Butterfly Grove Apts,5231 N Fresno St,Fresno, CA 93710
2869,Foundry Condos,320 W 2 St,Boston, MA 02127
2871,Shrewsbury Commons,35 Commons Dr,Shrewsbury, MA 01545
2872,Swan Hill Condo,3801 Swann Rd,Suitland, MD 20746
2873,Enclave Hills,4540 NW 36 St,Fort Lauderdale, FL 33319
2874,Oceanside Plaza Condos,5555 Collins Ave,Miami Beach, FL 33140
2875,Maplewood Valley Apts,197 Bemis Rd,Fitchburg, MA 01420
2876,Acadia Park Apts,1300 Leban Ave,Houma, LA 70363
2877,Woodington Gardens,108 Diener PL #103,Baltimore, MD 21229
2878,Pheasant Ridge Apts,3500 70 St,Moline, IL 61265
2879,Grove at Deerwood The,8231 Princton Square Blvd W,Jacksonville, FL 32256
2880,Carlisle Square,4601 Carlisle Blvd NE,Albuquerque, NM 87109
2881,Park Place Apts,3340 E Walnut St Rm 1,Pearland, TX 77581
2882,Vineyard Trace Apts,15414 Kuykendahl Rd,Houston, TX 77090
2883,Central Apts,4411 Fulton St #55,Houston, TX 77009
2884,Birches At Schoharie,192 Main St,Schoharie, NY 12157
2885,Huntington Villas,16761 Viewpoint Ln,Huntington Beach, CA 92647
2886,Meadowbrook Apts,3700 E Brookstown Dr,Baton Rouge, LA 70805
2888,Blossom Hill Estates II,5435 Eagles Ln,San Jose, CA 95123
2889,2. Blossom Hill Estates II,5435 Eagles Ln,San Jose, CA 95123
2890,Alicante Villas,500 Woodside Oaks,Sacramento, CA 95825
2892,1. Mondern on the Rail,1905 W Las Palmaritas Dr,Phoenix, AZ 85021
2893,2. Mondern on the Rail,1905 W Las Palmaritas Dr,Phoenix, AZ 85021
2894,Saint Germaine,2101 Manhattan Blvd,Harvey, LA 70058
2895,Park Fairfax Condo,3360 Gunston Rd,Alexandria, VA 22302
2896,Country Club Green Condo,125 Clubhouse Dr,Leesburg, VA 20175
2897,Palisades Garden,1-17 Brevoort Dr,Pomona, NY 10970
2898,Stoneybrook Apts,1555 W 8 St,Riviera Beach, FL 33404
2899,5450-5460 Concord Blvd,5450-5460 Concord Blvd,Concord, CA 94521
2900,321 E 22 St,321 E 22 St,New York, NY 10010
2901,Pleasant Valley Condos,949 Pleasant Valley Rd,South Windsor, CT 06074
2902,Clarion Inn,7620 Pan American East Fwy NE,Albuquerque, NM 87109
2903,Grants Apts,1703 Cordova Ct,Grants, NM 87020
2904,Cedar Hills Apt,351 Cedar Hills Dr,Gallup, NM 87301
2905,Brentwood East Apts,405 San Pablo St SE,Albuquerque, NM 87108
2906,Crestwood Apts,3620 Crest Ave SE,Albuquerque, NM 87108
2907,Dakota Canyon,501 W Zia Rd,Santa Fe, NM 87505
2908,Embarcadero Apts,601 Navajo Ave,Aztec, NM 87410
2909,Parliament House,7401 Eastmoreland Rd,Annandale, VA 22003
2910,Greenwich Close,10 Brookside Dr,Greenwich, CT 06830
2912,Steeplechase Apts,6790 River Downs Dr,Centerville, OH 45459
2913,Red Coach Village,199 The Post Rd,Springfield, OH 45503
2914,Pointe At Steeplechase Apts,8901 Jones Rd,Houston, TX 77065
2915,2. Newport CA,4800 Chicago Beach Dr,Chicago, IL 60615
2916,Ava Van Ness,2950 Van Ness St NW,Washington, DC 20008
2917,2830 Mills Park Dr,2830 Mills Park Dr,Rancho Cordova, CA 98670
2918,Parkview Apts,8401 E Reno Ave,Oklahoma City, OK 73110
2919,COLEBROOK APTS,8 WELSH DR,Lancaster, PA 17601
2920,Lapalco Court Apts,2300 Lapalco Blvd,Harvey, LA 70058
2921,34567 Cathedral Canyon Dr,34567 Cathedral Canyon Dr,Cathedral City, CA 92234
2922,Williamsburg Village,2000 SW 16 St,Gainesville, FL 32608
2923,River Tower Apts,420 E 54 St,New York, NY 10022
2924,Euclid Hill Villa Apts,100 Richmond Rd,Euclid, OH 44143
2925,Huntington Green Apts,2150 Milton Rd-C,University Heights, OH 44118
2926,Settlers Ridge Apts,12800 Harrisglenn Dr,Austin, TX 78753
2927,Castle Brooke Apts,550 S Dupoint Hwy,New Castle, DE 19720
2928,Highland Cove Apts,714 Due West Ave N,Madison, TN 37115
2929,Sunset Park Condo,2302 S Manhattan Ave,Tampa, FL 33629
2930,Huntington Green Apts,2175 Kerwin Rd,University Heights, OH 44118
2931,Huntington Green Apts,2201 Milton Rd-A,University Heights, OH 44118
2932,Huntington Green Apts,2200 Kerwin Rd,University Heights, OH 44118
2933,Pembrooke on the Green,10700 E Darmouth Ave,Denver, CO 80014
2934,Kings Square Apts,3301 Dodge Park Rd,Landover, MD 20785
2935,Emerald Towers Apts,107 W Cheyenne Rd,Colorado Springs, CO 80906
2936,Baltimore Garden Apts,316 W Baltimore Ave,Las Vegas, NV 89102-4912
2937,2. Phoenix Apts,5802 Annapolis Rd,Bladensburg, MD 20710
2938,Huntington Gardens Apts,2823 Fairhaven Ave,Alexandria, VA 22303
2939,8715 Magnolia Ave,8715 Magnolia Ave,Riverside, CA 92503
2940,Plaza on the Green,2 N Main St,Beacon Falls, CT 06403
2941,Colonial Arms Apts,1801 Colonial Arms Cir,Virginia Beach, VA 23454
2942,Sun Bay Apts,3730 W Bay Ave,Tampa, FL 33611
2943,2. Peachtree Battle Condos,2285 Peachtree Rd NE,Atlanta, GA 30309
2944,Oakmont Apts,2200 Westbend Pkwy,New Orleans, LA 70114
2945,2200 Monroe St,2200 Monroe St,Santa Clara, CA 95050
2947,Southwillow,6885 Redwood Rd-Office,West Jordon, UT 84084
2948,Meadows Apts-Waco,4300 Meyers Ln,Waco, TX 76705
2949,Belara Apts,6400 S Gessner Dr,Houston, TX 77036
2950,Park Georgetown,2100 N Pierce St,Arlington, VA 22209
2951,515 East 7 St,515 East 7 St,Brooklyn, NY 11218
2952,800 Apts,800 S 4 St,Louisville, KY 40203
2953,Bender Hollow Apts,424 S Bender Ave,Humble, TX 77338
2954,Cobble Creek Apts,920 Lawrence St,Tomball, TX 77375
2955,Canyon Crossing Apt,2101 W Loop 289 - back room,Lubbock, TX 79407
2956,Mulberry Court Apt,401 N Eutaw St,Baltimore, MD 21201
2957,Pepperwood Apts,1442-B Golden Gate Blvd,Mayfield Heights, OH 44124
2958,3545 Island Ave,3545 Island Ave,San Diego, CA 92102
2959,Huntington Green Apts,2200,2150 &2201 Milton Rd,University Heights, OH 44118
2960,Saint Annes Senior Housing,2323 26 Ave,Minneapolis, MN 55411
2961,250 W 50 St - FL 2,250 W 50 St - FL 2,New York, NY 10019
2962,Adams Square Condo,501 Adams St,Hoboken, NJ 07030
2963,425 E 86 St,425 E 86 St,New York, NY 10025
2964,685 1 Ave,685 1 Ave,New York, NY 10016
2965,Colorado The,201 E 86 St,New York, NY 10028
2966,2. Pembrooke on the Green,10700 E Darmouth Ave,Denver, CO 80014
2967,Village View Housing,175 E 4 St,New York, NY 10009
2968,Compass Five,1903 W Farms Rd,Bronx, NY 10460
2969,Forest Hill Terrace,14000 Terrace Rd - A,East Cleveland, OH 44112
2970,Forest Hill Terrace,14060 Terrace Rd - C,East Cleveland, OH 44112
2971,Windover Oaks Apts,1770 Windover Oaks Cir,Titusville, FL 32780
2972,2. Putnam Science Center,18 Maple St,Putnam, CT 06260
2973,Saratoga Garden Apts,21 Seward St,Saratoga Springs, NY 12866
2974,Villa Anita 2 Apts,8103 Grow Ln,Houston, TX 77040
2975,715 Park Ave,715 Park Ave,New York, NY 10021
2976,Atelier-Diactr,627 W 42 St,New York, NY 10036
2977,Mac Arthur Park Apts,800 Kinwest Pkwy,Irving, TX 75063
2978,Tysons Towers,8500 Tyspring St,Vienna, VA 22182
2979,Riverview Apts,301 Caravan Cir,Jacksonville, FL 32216
