cva,name,street,address
4758,Saint Germaine,2101 Manhattan Blvd,Harvey, LA 70058
4759,55 W Chestnut Apts,55 W Chestnut Apts,Chicago, IL 60610
4760,Vistas at 7 Bar Ranch,10500 Cibola lp nw,Albuquerque, NM 87114
4761,Candlestick Heights,869 Jamestown Ave,San Francisco, CA 94124
4762,Hampshire Village apts,1319 Merrimac Dr,Hyattsville, MD 20783
4763,Palms At Glendale Apts,6112 N 67 Ave,Glendale, AZ 85301
4764,Pointe at White Marsh,1 Thurmont Ct,Nottingham, MD 21236
4765,Pointe at White Marsh,1 Kinwall Pl,Nottingham, MD 21236
4766,Pointe at White Marsh,1 Dunhaven Pl,Nottingham, MD 21236
4767,Emerald Terrace - Los Angeles,160 S Virgil Ave,Los Angeles, CA 90004
4768,Clover on Park Lane Apts,8780 Park Lane,Dallas, TX 75231
4769,Pallister Plaisance Apts,888 Pallister st,Detroit, MI 48202
4770,The Bluffs,12601 SE River Rd,Portland, OR 97222
4771,Canyon Crest Apts-Riverside,5200 Chicago Ave,Riverside, CA 92507
4772,Sibley Manor,1291 Maynard Dr E,Saint Paul, MN 55116
4773,The Cove Apts,2000 Bay Area Blvd,Houston, TX 77058
4774,1761 Heritage Lane,1761 Heritage Lane,Sacramento, CA 95815
4775,3823 Marconi Ave,3823 Marconi Ave,Sacramento, CA 95821
4776,12 North Apts,25701 W 12 Mile Rd,Southfield, MI 48034
4777,River Plaza,1240 Morrison Ave,Bronx, NY 10472
4779,Woodmere Apts,1 Woodmere Dr,Petersburg, VA 23805
4780,1314 Ocean Pkwy,1314 Ocean Pkwy,Brooklyn, NY 11230
4781,2310 Holland LLC,2310 Holland Ave,Bronx, NY 10467
4782,La Valencia Apts,7810 Callaghan Rd,San Antonio, TX 78229
4783,Saint Johns Towers,865 Michigan Ave,Buffalo, NY 14203
4785,3530 Rochambeau Ave,3530 Rochambeau Ave,Bronx, NY 10467
4786,1240 Washington Ave,1240 Washington Ave,Bronx, NY 10456
4787,Grace Plaza,153 S 5th Ave,Mount Vernon, NY 10550
4788,Bristol House Apts,1400 20 St NW,Washington, DC 20036
4790,Rose Terracce Apts,525 E Harrison Dr,Avondale, AZ 85323
4791,Rose Terracce Apts,525 E Harrison Dr,Avondale, AZ 85323
4792,4600 9 Ave,4600 9 Ave,Brooklyn, NY 11220
4793,Meadow Creek Apts,136 S Virgil Ave,Los Angeles, CA 90004
4794,Terrace at Arboretum Apts,15928 Old Richmond Rd,Sugar Land, TX 77498
4795,Shadowridge Meadows,1515 S Melrose Dr,Vista, CA 92081
4796,Birchall Avenue Associates,1975 Birchall Ave,Bronx, NY 10462
4797,1543 W 1 St,1543 W 1 St,Brooklyn, NY 11204
4798,West Tremont Ave Assoc,31 W Tremont Ave,Bronx, NY 10453
4799,2261 Ocean Ave,2261 Ocean Ave,Brooklyn, NY 11229
4800,Yellowstone Gardens,102-35 64 Rd,Forest Hills, NY 11375
4801,Tiffany Street Assoc,1140 Tiffany St,Bronx, NY 10459
4802,Willow Creek,13656 Hilleary Pl,Poway, CA 92064
4803,5959 Broadway,5959 Broadway,Bronx, NY 10463
4805,90 Myrtle Ave,90 Myrtle Ave,Irvington, NJ 07111
4806,2039 Cruger Ave,2039 Cruger Ave,Bronx, NY 10462
4807,Fordham Bedford Housing Corp,2348 Webster Ave,Bronx, NY 10458
4810,Bethpage Park Apts,74 Jervis Ave,Farmingdale, NY 11735
4811,Excelsior I,140 Prospect Ave,Hackensack, NJ 07601
4812,716 Ocean Pkwy,716 Ocean Pkwy,Brooklyn, NY 11230
4813,Sterling Point Apts,6601 Dunlap St,Houston, TX 77074
4814,The Park at Stone Creek,The Park at Stone Creek,Austin, TX 78753
4817,Meadow Woods Annex,Meadow Woods Annex,Alexandria, VA 22306
4818,Boricua Village,508 E 162 St,Bronx, NY 10451
4819,Marmion Ave,2035 Marmion Ave,Bronx, NY 10460
4821,Windsor Park Apt,Windsor Park Apt,Houston, TX 77071
4822,Tuscan Heights Apts,1800 W 85 Ave,Denver, CO 80260
4823,Peter Cooper Village,448-450 E 20 St,New York, NY 10009
4824,360 Riverside Owners Corp,360 Riverside Owners Corp,New York, NY 10025
4825,Crotna Estates Housing Development Fund,Crotna Estates Housing Development Fund,Bronx, NY 10460
4826,Kensington Heights - 1404 Jesup Ave,Kensington Heights - 1404 Jesup Ave,Bronx, NY 10452
4827,1491 MaCombs Rd,1491 MaCombs Rd,Bronx, NY 10452
4828,950 Summit Ave,950 Summit Ave,Bronx, NY 10452
4829,690 Gerard Ave,690 Gerard Ave,Bronx, NY 10451
4830,2238 Creston Ave,2238 Creston Ave,Bronx, NY 10453
4831,111 Valentine Ln,111 Valentine Ln,Yonkers, NY 10705
4832,Rev Polite Avenue Assoc,Rev Polite Avenue Assoc,Bronx, NY 10459
4833,Riverside Park,5840 Cameron Run Terrace,Alexandria, VA 22303
4835,Aldus Street Associates,Aldus Street Associates,Bronx, NY 10459
4836,675 Morris Ave-Cornerstone Assoc,675 Morris Ave-Cornerstone Assoc,Bronx, NY 10451
4837,1800 Southern Blvd,1800 Southern Blvd,Bronx, NY 10460
4838,5400 Fieldston Rd,5400 Fieldston Rd,Bronx, NY 10471
4839,601-611 East 149 St,601-611 East 149 St,Bronx, NY 10455
4840,233 E 81 Street,233 E 81 St,NY, NY 10028
4841,Huntleigh Woods Apts,375 Hillcrest Rd,Mobile, AL 36608
4842,The Meadows Apts,The Meadows Apts,Rancho Cordova, CA 95670
